adc_range_vpp,point,attenuation,gain_pct,channel,snr_db_mean,snr_db_std,sinad_db_mean,sinad_db_std,enob_mean,enob_std,noise_floor_dbfs_mean,noise_floor_dbfs_std,peak_to_peak_codes_mean,peak_to_peak_codes_std,h2_dbfs_mean,h2_dbfs_std,h3_dbfs_mean,h3_dbfs_std,h4_dbfs_mean,h4_dbfs_std,h5_dbfs_mean,h5_dbfs_std
2,P1,1:1,49.5,average,33.67464710644216,1.4579106002557247,33.56484236621203,1.4230838345240064,5.283196406347514,0.23639266354219415,-65.9579165301546,1.457386468749301,15168.1,111.76980311733975,-56.53071931143997,2.1663423986014454,-47.94877488524564,1.4199150648445462,-58.98543718829897,4.855019356555531,-56.47826551769231,3.903002884872991
2,P2,1:1,45.44,ch1,37.94453056913548,0.6137925583798873,37.690755323610645,0.5469597827276557,5.968564007244295,0.09085710676539141,-69.89897993798289,0.6145341144673026,15371.4,92.16675708253553,-51.60063629208749,1.0102470310312748,-50.651710185410884,3.418385844788301,-56.55343209232625,3.3495822231514243,-55.57124054039832,3.186702171010085
2,P2,1:1,45.44,ch2,35.51436634451523,0.7932141146109885,35.093183709092216,0.7183578643485977,5.537073705829272,0.11932854889511599,-67.2874592750377,0.7895005117186156,15829.8,108.372608265291,-53.648941440864164,3.295207845549656,-46.47484677436968,2.8038927003952514,-55.39314837102886,3.1021866725056113,-44.455992690748076,2.425298851066012
2,P2,1:1,45.44,average,38.03628341085242,0.7709570540792069,37.68186195145399,0.7072913129082944,5.967086702899334,0.11749025131367012,-69.89742205535848,0.7708096393319888,15518.1,97.29188615250045,-52.67897725386998,1.8043878654739562,-49.28494905000004,3.6587803479345715,-57.25657152194931,2.827590781919615,-50.07890465409359,2.9860881464839006
2,P3,1:100,55.5,ch1,28.850896211013314,0.42325223161277176,28.763769115975066,0.40054647954742917,4.485675932886224,0.06653596005771241,-61.187858968820294,0.4254488280741015,15460.7,79.59068901434249,-51.097000401176466,2.974613549918953,-46.60963726039822,2.8580941436101135,-52.55193883209539,4.795081533380097,-48.58523605575994,3.0675276936223193
2,P3,1:100,55.5,ch2,33.04457262326733,0.667415606799483,32.82310341902198,0.6145189112469859,5.159983956648169,0.10207955336328672,-65.24669595090347,0.6675622118548745,15242.9,56.87110182001244,-54.628683103803226,5.308406337460892,-47.53137505890563,3.2484281573005536,-54.22094211590182,3.0934281964826056,-46.88981748676292,4.165545577065776
2,P3,1:100,55.5,average,31.70181457841604,0.5899651917058694,31.556075192966894,0.5447771583975097,4.94951415165563,0.09049454458430406,-63.970310929558174,0.5901969332262458,15296.75,53.37511384323014,-53.766575136865015,3.4402592259812037,-46.98868399760192,2.0411400894099274,-55.098535546472945,4.584036253401721,-47.95638550842868,3.6176559614012223
2,P4,1:100,52.53,ch1,34.70179618463503,0.2024782940685374,34.54291094028033,0.24629366266739275,5.445666269149557,0.04091256854940073,-66.57128756618144,0.20210736072428948,15797.4,112.33798209965417,-54.14406655930418,5.66342566924217,-48.4382216446203,2.9231311882976176,-55.91188526247801,2.756100297851791,-53.579134088284306,5.075473379433436
2,P4,1:100,52.53,ch2,36.183233690592054,0.603382124640467,35.87855366682129,0.544922296409125,5.667533831697889,0.09051865388855881,-67.89743775083225,0.6036926780088927,15939.9,126.35791317611346,-53.63389888651007,4.529276861725091,-52.280606181981966,6.236061632148023,-53.50158414192258,2.22205566264752,-47.92060027876188,4.7801552570508035
2,P4,1:100,52.53,average,36.596257827522884,0.39262854501138605,36.37294645916388,0.3958456786277008,5.749658880259781,0.06575509611755824,-68.38716931022353,0.39035668488163094,15807.35,108.41895334508835,-54.62648301255418,5.001363919477696,-50.406080580193034,3.3656934029899745,-55.48856223571302,2.687063058068283,-51.00778057790192,3.7134070789441926
2,P5,1:100,49.66,ch1,38.112164206473665,0.15015530151500292,37.96767691999366,0.18179321662863465,6.014564272424197,0.030198208742298057,-70.14017983936851,0.15014311198401556,15308.4,103.10965037279487,-58.89504599647087,2.6200724050706445,-52.439114839316346,3.71535646289431,-60.25522798727061,3.6526023721878924,-56.19254894149003,3.994728585690203
2,P5,1:100,49.66,ch2,37.02538462380153,0.4378700972630137,36.63362777917902,0.35794955383839305,5.792961425112795,0.05946005877714171,-68.87877675763487,0.4381260716730716,15609.8,93.30094676189877,-55.47167210939551,3.1991131419434082,-50.730614705492336,2.521049983805622,-53.30046482412729,3.475130313352475,-46.28866035986958,3.1873933646559394
2,P5,1:100,49.66,average,38.74193146531887,0.26100798677947734,38.49210237386186,0.24039018510697074,6.1016781351930005,0.039931924436373965,-70.68202097605379,0.2623252056388011,15387.3,90.0373996366695,-58.82114937466129,3.5905532716584077,-52.78606341772233,3.468653367523203,-57.18451093477613,3.5011258536547616,-51.237405918381775,3.661135033132049
2,P6,1:100,45.0,ch1,38.08674083390941,0.13055102809368893,37.81089622369238,0.2730373811043953,5.988520967390761,0.04535504669508222,-74.94821433987836,0.12842185582428212,8715.8,49.73887368603712,-56.72141692156424,5.470932539743163,-63.650770658683314,5.378328923505244,-58.522117033566204,2.490990326018558,-57.52557482449441,3.8091880014759694
2,P6,1:100,45.0,ch2,33.653861828010164,1.0730276234345708,32.932779830468135,1.176114303759,5.1782026296458685,0.19536782454468468,-70.33998622335477,1.0759906462703714,9053.7,88.13253907861979,-53.84169111119596,3.1204509317971554,-46.31871759085091,4.4818434989544995,-55.86854603835059,3.8331171837846965,-46.5436760943728,3.6323449463400297
